payment_ref,invoice_no,vendor_id,vendor_category,business_unit,transaction_date,amount,is_duplicate,post_migration,treated_bu
PMT-007549,INV-60750,V1095,IT Services,BU_East,2023-07-01,27761.32,0,1,0
PMT-013834,INV-78978,V1007,Office Supplies,BU_South,2023-07-01,733.44,0,1,1
PMT-009587,INV-53019,V1022,IT Services,BU_North,2023-07-01,22730.3,0,1,1
PMT-014772,INV-17104,V1040,Logistics,BU_West,2023-07-01,13534.93,0,1,0
PMT-003823,INV-86955,V1032,Consulting,BU_South,2023-07-01,10741.73,0,1,1
PMT-006215,INV-93365,V1088,Consulting,BU_North,2023-07-01,15565.2,0,1,1
PMT-013798,INV-27447,V1019,Consulting,BU_North,2023-07-01,37453.22,0,1,1
PMT-001076,INV-33957,V1034,Consulting,BU_South,2023-07-01,18754.78,0,1,1
PMT-011636,INV-98964,V1034,Office Supplies,BU_South,2023-07-01,2799.91,1,1,1
PMT-012344,INV-36767,V1083,Office Supplies,BU_North,2023-07-01,2535.55,0,1,1
PMT-009947,INV-51754,V1057,Consulting,BU_West,2023-07-01,35440.97,0,1,0
PMT-006516,INV-64841,V1034,IT Services,BU_Central,2023-07-01,27870.1,0,1,0
PMT-003023,INV-26136,V1056,Office Supplies,BU_North,2023-07-01,3651.57,0,1,1
PMT-002198,INV-34400,V1092,Office Supplies,BU_North,2023-07-01,4756.87,0,1,1
PMT-002179,INV-66068,V1035,Logistics,BU_West,2023-07-01,4086.83,0,1,0
PMT-009098,INV-98856,V1038,Consulting,BU_West,2023-07-01,30011.33,0,1,0
PMT-007533,INV-11162,V1003,Consulting,BU_West,2023-07-01,7700.85,0,1,0
PMT-014284,INV-38625,V1038,Consulting,BU_West,2023-07-01,42264.08,0,1,0
PMT-012652,INV-31531,V1016,Office Supplies,BU_East,2023-07-01,4548.83,0,1,0
PMT-008434,INV-22134,V1005,Logistics,BU_South,2023-07-01,12384.12,0,1,1
PMT-011808,INV-13029,V1036,Logistics,BU_North,2023-07-01,7470.24,0,1,1
PMT-014378,INV-52349,V1041,Consulting,BU_North,2023-07-01,12977.47,0,1,1
