payment_ref,invoice_no,vendor_id,vendor_category,business_unit,transaction_date,amount,is_duplicate,post_migration,treated_bu,flag_r1,flag_r2,flag_r3,duplicate_score,predicted_duplicate
PMT-011441,INV-26508,V1084,IT Services,BU_East,2023-01-01,57002.18,0,0,0,0,0,0,0,0
PMT-011526,INV-37136,V1090,Office Supplies,BU_North,2023-01-01,3847.47,0,0,1,0,0,0,0,0
PMT-005387,INV-41756,V1037,Facilities,BU_South,2023-01-01,4790.01,0,0,1,0,0,0,0,0
PMT-006724,INV-61759,V1099,Logistics,BU_Central,2023-01-01,6426.14,0,0,0,0,0,0,0,0
PMT-009387,INV-42361,V1032,IT Services,BU_Central,2023-01-01,61182.87,0,0,0,0,0,0,0,0
PMT-010987,INV-80527,V1058,Facilities,BU_East,2023-01-01,9723.56,0,0,0,0,0,0,0,0
PMT-008090,INV-76244,V1095,Office Supplies,BU_West,2023-01-01,3037.18,0,0,0,0,0,0,0,0
PMT-002279,INV-60512,V1054,Office Supplies,BU_South,2023-01-01,3483.62,0,0,1,0,0,0,0,0
PMT-011029,INV-83678,V1083,IT Services,BU_North,2023-01-01,26306.75,0,0,1,0,0,0,0,0
PMT-007780,INV-91173,V1066,IT Services,BU_Central,2023-01-01,74000.06,0,0,0,0,0,0,0,0
PMT-005031,INV-28446,V1050,Facilities,BU_South,2023-01-01,3175.06,0,0,1,0,0,0,0,0
PMT-005004,INV-17990,V1000,Consulting,BU_South,2023-01-01,4509.15,0,0,1,0,0,0,0,0
PMT-001356,INV-79632,V1057,Consulting,BU_South,2023-01-01,39337.67,0,0,1,0,0,0,0,0
PMT-011301,INV-70056,V1007,Office Supplies,BU_Central,2023-01-01,3109.25,0,0,0,0,0,0,0,0
PMT-004197,INV-15739,V1031,IT Services,BU_East,2023-01-01,76942.66,0,0,0,0,0,0,0,0
PMT-013217,INV-64161,V1011,Facilities,BU_North,2023-01-01,3267.44,0,0,1,0,0,0,0,0
PMT-011361,INV-51770,V1024,Consulting,BU_North,2023-01-01,30623.09,0,0,1,0,0,0,0,0
PMT-004757,INV-76301,V1084,IT Services,BU_North,2023-01-01,10690.37,0,0,1,0,0,0,0,0
PMT-011764,INV-28406,V1057,Logistics,BU_West,2023-01-01,9233.43,0,0,0,0,0,0,0,0
PMT-002541,INV-78134,V1015,Logistics,BU_South,2023-01-01,2048.54,0,0,1,0,0,0,0,0
PMT-004350,INV-24314,V1059,IT Services,BU_Central,2023-01-01,40337.94,0,0,0,0,0,0,0,0
PMT-010125,INV-50298,V1062,IT Services,BU_Central,2023-01-01,65600.86,0,0,0,0,0,0,0,0
PMT-014767,INV-78233,V1043,IT Services,BU_West,2023-01-01,27823.95,0,0,0,0,0,0,0,0
PMT-011625,INV-62030,V1005,Consulting,BU_West,2023-01-01,45707.1,0,0,0,0,0,0,0,0
PMT-013906,INV-75089,V1022,Consulting,BU_South,2023-01-01,25226.81,0,0,1,0,0,0,0,0
PMT-007084,INV-77108,V1071,Consulting,BU_North,2023-01-01,17603.07,0,0,1,0,0,0,0,0
